start_time_ticks,duration_ticks,midi_number,velocity,note_name,frequency_hz,original_mz,original_intensity,retention_time,start_time_seconds,duration_seconds
3120,120,92,20,G#,1661.2187903197803,130.0,21663.0,0.03280481137233461,3.9,0.15
3600,720,94,20,A#,1864.6550460723597,128.0,126180.0,0.036994427064498014,4.5,0.9
4560,720,80,20,G#,830.6093951598903,474.0,25185.0,0.04811372334609076,5.7,0.9
4560,480,76,20,E,659.2551138257398,599.0,21691.0,0.04811372334609076,5.7,0.6
4680,960,62,20,D,293.6647679174076,976.0,68665.0,0.048921394220806505,5.85,1.2
5160,960,62,20,D,293.6647679174076,975.0000000000001,6027626.0,0.053361626588878434,6.45,1.2
5280,960,72,20,C,523.2511306011972,666.0000000000001,874656.0,0.054558580301066625,6.6,1.2
5400,720,76,20,E,659.2551138257398,598.0,130336.0,0.056493381550777044,6.75,0.9
5640,960,78,20,F#,739.9888454232688,527.0,3961982.0,0.05841827283280534,7.05,1.2
6120,960,92,20,G#,1661.2187903197803,140.0,1362269.0,0.06358061355857882,7.65,1.2
6240,960,82,20,A#,932.3275230361797,434.0,267443.0,0.06546403237920241,7.8,1.2
6240,360,94,20,A#,1864.6550460723597,122.0,48512.0,0.06485702308238278,7.8,0.45
6480,960,86,127,D,1174.65907166963,322.00000000000006,852835377.0,0.06781005224242952,8.1,1.2
6600,960,86,22,D,1174.65907166963,324.00000000000006,21338081.0,0.06915267707636444,8.25,1.2
6600,720,82,20,A#,932.3275230361797,408.0,20552.0,0.0683433570256971,8.25,0.9
6720,960,74,20,D,587.3295358348151,627.0,572237.0,0.06960303020650907,8.4,1.2
6720,120,80,20,G#,830.6093951598903,488.0,22291.0,0.06998359759431383,8.4,0.15
6840,480,72,20,C,523.2511306011972,686.0,22471.0,0.07107709130672499,8.55,0.6
7440,960,86,34,D,1174.65907166963,323.0,116367540.0,0.0773465613958266,9.3,1.2
7440,480,78,20,F#,739.9888454232688,514.0,23753.0,0.07763805358119191,9.3,0.6
7440,720,70,20,A#,466.16376151808987,723.0,20085.0,0.07763805358119191,9.3,0.9
7680,480,76,20,E,659.2551138257398,583.0,20642.0,0.07982504100601422,9.6,0.6
7800,960,90,20,F#,1479.9776908465376,209.00000000000006,2767499.0,0.08168777986834601,9.75,1.2
